0,421,2080,5,0
1,586,1915,6,0
2,409,2092,7,0
3,666,1835,3,0
4,372,2129,7,0
5,391,2110,6,0
6,431,2070,8,0
7,446,2055,8,0
8,393,2108,6,0
9,487,2014,7,0
10,496,2005,3,1
11,442,2059,4,0
12,772,1729,4,0
13,557,1944,5,1
14,442,2059,5,0
15,536,1965,5,1
16,568,1933,5,0
17,329,2172,6,0
18,702,1799,6,0
19,311,2190,4,0
20,403,2098,5,0
21,448,2053,3,0
22,333,2168,5,0
23,402,2099,6,0
24,327,2174,3,0
25,383,2118,6,0
26,351,2150,9,0
27,368,2133,5,0
28,584,1917,5,1
29,431,2070,8,0
30,617,1884,3,0
31,528,1973,4,0
32,704,1797,5,0
33,324,2177,3,0
34,309,2192,3,0
35,658,1843,2,0
36,560,1941,4,0
37,536,1965,5,1
38,503,1998,3,0
39,715,1786,2,0
40,518,1983,5,0
41,270,2231,4,0
42,408,2093,5,0
43,610,1891,5,0
44,669,1832,3,0
45,651,1850,5,0
46,424,2077,5,0
47,648,1853,5,0
48,269,2232,4,0
49,585,1916,5,0
50,385,2116,5,0
51,599,1902,2,0
52,394,2107,5,0
53,591,1910,3,0
54,377,2124,3,1
55,688,1813,2,0
56,533,1968,3,1
57,699,1802,4,1
58,542,1959,2,0
59,387,2114,3,0
60,507,1994,2,0
61,463,2038,5,0
62,740,1761,5,0
63,575,1926,2,0
64,549,1952,2,0
65,611,1890,5,0
66,526,1975,5,0
67,568,1933,3,1
68,309,2192,4,0
69,506,1995,5,0
70,580,1921,3,0
71,420,2081,4,0
72,668,1833,3,0
73,618,1883,3,1
74,429,2072,5,0
75,497,2004,4,1
76,595,1906,3,1
77,298,2203,4,1
78,490,2011,4,0
79,366,2135,6,0
80,352,2149,2,0
81,606,1895,7,1
82,252,2249,3,0
83,492,2009,5,0
84,466,2035,3,1
85,529,1972,3,0
86,533,1968,4,0
87,715,1786,2,1
88,582,1919,4,1
89,528,1973,4,1
90,547,1954,3,0
91,569,1932,3,0
92,341,2160,3,0
93,705,1796,4,0
94,461,2040,4,0
95,732,1769,5,0
96,444,2057,5,1
97,967,1534,5,1
98,579,1922,3,1
99,692,1809,5,0
100,609,1892,4,0
101,312,2189,3,0
102,636,1865,4,0
103,555,1946,3,0
104,762,1739,3,0
105,706,1795,3,1
106,555,1946,5,0
107,590,1911,3,0
108,535,1966,3,0
109,693,1808,4,0
110,669,1832,4,1
111,564,1937,3,1
112,900,1601,2,0
113,487,2014,5,1
114,711,1790,3,0
115,474,2027,3,1
116,862,1639,3,0
117,488,2013,4,0
118,867,1634,5,1
119,649,1852,4,0
120,581,1920,3,0
121,782,1719,2,0
122,744,1757,4,0
123,832,1669,4,0
124,736,1765,3,1
125,1075,1426,3,1
126,772,1729,3,1
127,765,1736,2,0
128,1000,1501,2,0
129,934,1567,4,0
130,739,1762,2,1
131,751,1750,3,0
132,949,1552,4,0
133,1104,1397,4,0
134,763,1738,3,0
135,838,1663,4,0
136,961,1540,3,0
137,931,1570,3,0
138,1102,1399,3,0
139,1033,1468,4,0
140,1080,1421,5,0
141,895,1606,4,1
142,913,1588,3,1
143,1042,1459,4,0
144,1025,1476,4,0
145,951,1550,4,0
146,1235,1266,3,0
147,1220,1281,4,1
148,1186,1315,2,0
149,943,1558,3,0
150,1209,1292,3,0
151,731,1770,3,1
152,1153,1348,3,0
153,1037,1464,3,1
154,714,1787,5,0
155,1128,1373,4,0
156,819,1682,3,1
157,865,1636,4,0
158,784,1717,1,0
159,907,1594,4,0
160,912,1589,5,1
161,519,1982,5,0
162,547,1954,1,0
163,981,1520,5,1
164,684,1817,3,0
165,972,1529,3,0
166,858,1643,5,0
167,926,1575,4,0
168,957,1544,5,1
169,885,1616,4,0
170,697,1804,3,1
171,1080,1421,3,0
172,848,1653,5,1
173,843,1658,3,0
174,998,1503,5,0
175,968,1533,5,2
176,721,1780,3,0
177,849,1652,3,0
178,842,1659,4,0
179,919,1582,6,1
180,1019,1482,4,1
181,715,1786,2,0
182,586,1915,3,0
183,796,1705,3,0
184,665,1836,5,0
185,974,1527,5,1
186,755,1746,3,0
187,626,1875,3,0
188,369,2132,3,0
189,882,1619,4,0
190,664,1837,5,1
191,683,1818,2,0
192,707,1794,3,1
193,773,1728,3,0
194,396,2105,3,0
195,816,1685,4,0
196,647,1854,4,0
197,862,1639,3,0
198,728,1773,4,0
199,599,1902,3,0
